psize,bsize,ntasks,min,avg,max
262144,262144,1,17.2,17.2,17.2
2097152,262144,8,17.87,17.87,17.88
16777216,262144,64,18.6,18.61,18.63
134217728,262144,512,19.15,19.16,19.22
1073741824,262144,4096,21.65,21.67,21.94
