psize,bsize,ntasks,min,avg,max
262144,262144,1,18.96,18.96,18.96
2097152,262144,8,20.76,20.76,20.77
16777216,262144,64,21.55,21.6,21.65
134217728,262144,512,23.02,23.16,23.33
1073741824,262144,4096,29.03,29.06,29.46
