psize,bsize,ntasks,min,avg,max
262144,262144,1,60.5,60.5,60.5
2097152,262144,8,61.84,61.85,61.9
16777216,262144,64,62,62.01,62.04
134217728,262144,512,67.07,67.19,67.53
1073741824,262144,4096,76.48,76.5,76.9
