psize,bsize,ntasks,min,avg,max
262144,262144,1,20.83,20.83,20.83
2097152,262144,8,24.82,24.85,24.89
16777216,262144,64,27.22,27.23,27.25
134217728,262144,512,30.07,30.19,30.42
1073741824,262144,4096,38.39,38.4,38.81
