psize,bsize,ntasks,min,avg,max
262144,262144,1,12.26,12.26,12.26
2097152,262144,8,13.02,13.02,13.02
16777216,262144,64,13.98,13.99,14
134217728,262144,512,14.72,14.73,14.8
1073741824,262144,4096,16.77,16.8,17.06
